Comment,Designator,Package,Quantity,LCSC
NCV8402ASTT1G,"IC2,IC1",SOT223,2,C77755
SS54,D1,SMB(DO-214AA),1,C880743
22uH,L1,IND-SMD,1,C45737
1k5Ω,"R7,R6",0805_R,2,C4310
4k7Ω,"R5,R4",0805_R,2,C17673 
1uF,"C6,C5",0805_C,2,C28323 
TPS62160DGKR,IC9,MSOP-8,1,C60726
MCP2515-I/ST,"IC3,IC4,IC5",TSSOP-20,3,C15193
SN65HVD230,"IC6,IC7,IC8",SOIC-8,3,C12084
47kΩ,R3,0805_R,1,C17713
220kΩ,R2,0805_R,1,C17539
0.1uF,"C2,C3",0805_C,2,C49678
10uF,C1,0805_C,1,C15850
22uF,C4,0805_C,1,C2835558
100kΩ,R1,0805_R,1,C17407
120Ω,"R8,R9,R10",0805_R,3,C17437
