Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",157.575000,-134.280000,90.000000,top
"C2","100nF","C_0603_1608Metric",148.844000,-120.396000,-90.000000,top
"C3","100nF","C_0603_1608Metric",121.158000,-120.396000,-90.000000,top
"C4","22uF","C_0805_2012Metric",167.481000,-134.534000,-90.000000,top
"C5","1uF","C_0603_1608Metric",121.621250,-97.178500,90.000000,top
"C6","1uF","C_0603_1608Metric",121.621250,-93.575500,-90.000000,top
"C7","1uF","C_0603_1608Metric",121.621250,-100.734500,-90.000000,top
"C8","1uF","C_0603_1608Metric",121.621250,-104.243500,90.000000,top
"C9","1uF","C_0603_1608Metric",121.621250,-107.579500,-90.000000,top
"C10","1uF","C_0603_1608Metric",121.621250,-111.355500,90.000000,top
"D1","SS54B","DIOM5336X244N",167.481000,-125.136000,-90.000000,top
"IC1","NCV8402ASTT1G","SOT230P700X175-4N",105.337000,-61.722000,-90.000000,top
"IC2","NCV8402ASTT1G","SOT230P700X175-4N",113.719000,-61.722000,-90.000000,top
"IC3","MCP2515-I_ST","SOP65P640X120-20N",143.945000,-120.396000,90.000000,top
"IC4","MCP2515-I_ST","SOP65P640X120-20N",135.055000,-120.396000,90.000000,top
"IC5","MCP2515-I_ST","SOP65P640X120-20N",126.165000,-120.396000,90.000000,top
"IC6","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",126.165000,-129.540000,-90.000000,top
"IC7","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",135.055000,-129.540000,-90.000000,top
"IC8","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",143.945000,-129.540000,-90.000000,top
"IC9","TPS62160DGKR","SOP65P490X110-8N",161.151000,-133.010000,90.000000,top
"IC10","NCV8402ASTT1G","SOT230P700X175-4N",105.337000,-72.517000,-90.000000,top
"IC11","NCV8402ASTT1G","SOT230P700X175-4N",113.719000,-72.517000,-90.000000,top
"IC12","NCV8402ASTT1G","SOT230P700X175-4N",105.337000,-83.664000,-90.000000,top
"IC13","NCV8402ASTT1G","SOT230P700X175-4N",113.719000,-83.664000,-90.000000,top
"J7","M22-2510346","PinHeader_1x03_P2.54mm_Vertical",137.160000,-58.928000,0.000000,top
"L1","2.2uH","NR6028T220M",161.131000,-125.136000,0.000000,top
"R1","100k","R_0805_2012Metric",157.321000,-130.724000,-90.000000,top
"R2","220k","R_0805_2012Metric",166.465000,-130.978000,180.000000,top
"R3","47k","R_0805_2012Metric",165.195000,-134.534000,-90.000000,top
"R4","4k7","R_0805_2012Metric",114.151750,-97.940500,0.000000,top
"R5","4k7","R_0805_2012Metric",114.255250,-92.813500,0.000000,top
"R6","1k5","R_0805_2012Metric",117.811250,-97.178500,90.000000,top
"R7","1k5","R_0805_2012Metric",117.811250,-93.575500,-90.000000,top
"R8","120","R_0805_2012Metric",142.167000,-136.652000,0.000000,top
"R9","120","R_0805_2012Metric",133.023000,-136.652000,0.000000,top
"R10","120","R_0805_2012Metric",124.133000,-136.652000,0.000000,top
"R11","4k7","R_0805_2012Metric",114.151750,-99.972500,0.000000,top
"R12","4k7","R_0805_2012Metric",114.151750,-105.005500,0.000000,top
"R13","4k7","R_0805_2012Metric",114.216500,-107.058500,0.000000,top
"R14","4k7","R_0805_2012Metric",114.151750,-112.027000,0.000000,top
"R15","1k5","R_0805_2012Metric",117.811250,-100.734500,-90.000000,top
"R16","1k5","R_0805_2012Metric",117.811250,-104.243500,90.000000,top
"R17","1k5","R_0805_2012Metric",117.811250,-107.846500,-90.000000,top
"R18","1k5","R_0805_2012Metric",117.811250,-111.355500,90.000000,top
"U8","Pico","RPi_Pico_SMD_TH",153.743000,-83.058000,0.000000,top
"X1","ATM13-12PB-12PC-BM03","ATM1312PB12PCBM03",118.255000,-146.026000,180.000000,top
