Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","1uF","C_0603_1608Metric",69.342000,-105.410000,180.000000,top
"C2","1uF","C_0603_1608Metric",75.978000,-111.624500,-90.000000,top
"C3","1uF","C_0603_1608Metric",77.470000,-107.592500,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",75.946000,-87.376000,180.000000,top
"C5","0.1uF","C_0603_1608Metric",70.104000,-80.772000,90.000000,top
"C6","10uF","C_0603_1608Metric",76.454000,-33.528000,0.000000,top
"C7","22uF","C_0805_2012Metric",66.294000,-38.354000,90.000000,top
"IC1","ATMEGA328P-AU","QFP80P900X900X120-32N",75.724000,-94.456000,90.000000,top
"IC2","NCV8402ASTT1G","SOT230P700X175-4N",44.450000,-119.126000,180.000000,top
"IC3","NCV8402ASTT1G","SOT230P700X175-4N",99.568000,-119.126000,180.000000,top
"IC4","NCV8402ASTT1G","SOT230P700X175-4N",154.432000,-119.126000,180.000000,top
"IC5","TPS62160DGKR","SOP65P490X110-8N",75.946000,-38.862000,-90.000000,top
"J3","Conn_01x06_Female","PinHeader_1x06_P2.54mm_Vertical",78.486000,-64.770000,0.000000,top
"J4","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical",70.622000,-124.460000,90.000000,top
"L1","2.2uH","SMNR402022UH",73.659000,-51.562000,90.000000,top
"LED1","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-40.000000,180.000000,top
"LED2","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-40.000000,180.000000,top
"LED3","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-40.000000,180.000000,top
"LED4","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-40.000000,180.000000,top
"LED5","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-57.600000,180.000000,top
"LED6","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-57.600000,180.000000,top
"LED7","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-57.600000,180.000000,top
"LED8","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-57.600000,180.000000,top
"LED9","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-75.200000,180.000000,top
"LED10","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-75.200000,180.000000,top
"LED11","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-75.200000,180.000000,top
"LED12","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-75.200000,180.000000,top
"LED13","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-92.800000,180.000000,top
"LED14","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-92.800000,180.000000,top
"LED15","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-92.800000,180.000000,top
"LED16","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-92.800000,180.000000,top
"LED17","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-110.400000,180.000000,top
"LED18","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-110.400000,180.000000,top
"LED19","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-110.400000,180.000000,top
"LED20","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-110.400000,180.000000,top
"LED21","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",31.000000,-128.000000,180.000000,top
"LED22","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",40.000000,-128.000000,180.000000,top
"LED23","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",49.000000,-128.000000,180.000000,top
"LED24","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",58.000000,-128.000000,180.000000,top
"LED25","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",86.000000,-40.000000,180.000000,top
"LED26","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",95.000000,-40.000000,180.000000,top
"LED27","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",104.000000,-40.000000,180.000000,top
"LED28","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",113.000000,-40.000000,180.000000,top
"LED29","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",86.000000,-57.600000,180.000000,top
"LED30","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",95.000000,-57.600000,180.000000,top
"LED31","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",104.000000,-57.600000,180.000000,top
"LED32","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",113.000000,-57.600000,180.000000,top
"LED33","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",86.000000,-75.200000,180.000000,top
"LED34","HL-AM-2835H421W-S1-08-HR3","HLAM2835H421WS108HR3",95.000000,-75.200000,180.000000,top
