Comment,Designator,Footprint,LCSC
HL-AM-2835H421W-S1-08-HR3,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72",SMD2835,C210318
NCV8402ASTT1G,"IC2,IC3,IC4",SOT223,C77755
ATMEGA328P-AU,IC1,TQFP-32,C14877
4k7Ω,"R1,R2,R3",0805_R,C17673
1k5Ω,"R4,R5,R6",0805_R,C4310
1uF,"C1,C2,C3",0805_C,C28323
X322516MLB4SI,Y1,SMD3225-4P,C13738
10kΩ,"R7,R8,R9",0805_R,C84376
0.1uF,"C4,C5",0805_C,C49678
TPS62160DGKR,IC5,MSOP-8,C60726
10uF,C6,0805_C,C15850
100kΩ,R10,0805_R,C149504
2.2uH,L1,SMD,C135262
220kΩ,R11,0805_R,C17539
47kΩ,R12,0805_R,C17713
22uF,C7,0805_C,C2835558
